ID,Phase,Action,Owner,Due,Priority,Status,Notes
PM-031,Site logistics,Provide dumpster or designated trash stockpile/export area for Dakota-generated trash.,Dave / Owner / Dakota,Before mobilization,Medium,Open,Dakota excludes trash export by others.
PM-032,Site logistics,"Provide storage area, sanitary facilities, security, traffic-control plans, flagmen, and barricades if required.",SRS / Dave / Owner / Dakota,Before mobilization,High,Open,"Yellow-highlighted Dakota exclusion. Dave's SRS list assigns traffic-control plans, flagmen, and barricades to SRS if required. Dakota includes up to two flaggers as required while performing its scope and accepting equipment/material deliveries. Decide what remains outside Dakota's included flagger scope."
PM-033,Site coordination,Coordinate with plumber through owner.,Dave / Owner,ASAP,Medium,Open,"Clarify plumbing conflicts, shutdowns, relocation needs, inspection impacts, and sequencing."
PM-034,Stakeholder communication,Prepare and execute neighbor coordination/notification plan after schedule and laydown plan are known.,SRS / Dave / Dakota / Owner,Before mobilization,Medium,Open,"Dave's SRS list assigns neighbor coordination to SRS. Include expected start date, working hours, access/parking impacts, noise/vibration expectations, and point of contact."
PM-035,Site logistics,Decide whether to install a site camera and notification process.,Dave / Dakota / Owner,Before mobilization,Medium,Open,"Clarify privacy, power/network, monitoring responsibility, and use in progress documentation."
PM-036,Procurement,Confirm Dakota has received deposit and can order materials.,Dakota,ASAP,High,Open,"Dakota actions list both ""Receive deposit"" and ""Order materials."" Proposal says materials will not be ordered until stamped/approved plans are provided."
PM-037,Procurement,"Confirm long-lead materials, shop drawings/submittals, delivery dates, and storage/laydown constraints.",Dakota / Dave,ASAP,High,Open,Add to schedule once Dakota provides durations.
PM-038,Construction,Schedule first LADBS inspection.,Dave / Dakota,Before covered work,High,Open,Confirm inspection trigger from permit card and approved plans.
PM-039,Construction,Request required inspections before covering work.,Dakota / Dave,Ongoing,High,Open,No covered work without required inspection/testing signoff.
PM-040,Construction,Establish daily activity report review and dispute process.,Dave / Dakota / Owner,Before start,Medium,Open,Dakota proposal requires owner or representative availability to review/acknowledge daily activity reports; disputes must be made in writing.
PM-041,Administration,Establish invoicing flow from DRS to Dakota.,Dave / Dakota,ASAP,High,Open,"Confirm billing contact, PO/job number, invoice cadence, reimbursables, time descriptions, and backup documents."
PM-042,Administration,Establish meeting cadence and action-log owner.,Dave,ASAP,Medium,Open,Recommend weekly construction coordination meeting plus daily/field issue calls as needed.
PM-043,Document control,Create live RFI/submittal/change/decision logs for Dakota construction phase.,Dave,ASAP,Medium,Open,Useful because project history spans SRS and DRS folders.
PM-044,Survey / layout,"Survey perimeter of Tecco Net location, including offsets where required.",SRS / Dave / Surveyor,Before layout/drilling,High,Open,New unique item from Dave's SRS list. DRS will help coordinate the survey scope and recommended offsets.
PM-045,Responsibility matrix,"Confirm written SRS responsibility matrix for water, SWPPP/erosion control, field engineering/survey, utility potholing/protection, traffic control, neighbor coordination, utility coordination, and permit responsibilities.",Dave / SRS / Dakota / Owner,ASAP,High,Open,Consolidates Dave's SRS-provided list into a written handoff so Dakota's exclusions do not become unmanaged gaps.
